date,points,percent_change
2025-04-02,6180,7.51
2025-04-03,2787,3.43
2025-04-04,3061,3.75
2025-04-05,1886,2.29
2025-04-06,6664,8.64
2025-04-07,6736,9.04
2025-04-08,4628,6.07
2025-04-09,8968,12.02
2025-04-10,4289,5.47
2025-04-11,5330,6.75
2025-04-12,3112,3.76
2025-04-13,3066,3.69
2025-04-14,2122,2.54
2025-04-15,2896,3.46
2025-04-16,2388,2.87
2025-04-17,1734,2.07
2025-04-18,828,0.98
2025-04-19,1314,1.56
2025-04-20,1371,1.63
2025-04-21,3321,3.9
2025-04-22,6812,7.82
2025-04-23,2761,3.0
2025-04-24,2345,2.56
2025-04-25,2902,3.13
2025-04-26,1328,1.42
2025-04-27,1766,1.89
2025-04-28,2830,3.05
2025-04-29,1719,1.83
2025-04-30,2318,2.5
2025-05-01,3294,3.5
