date,points,percent_change
2025-04-15,78,4.93
2025-04-16,76,4.91
2025-04-17,54,3.44
2025-04-18,27,1.72
2025-04-19,47,2.95
2025-04-20,54,3.42
2025-04-21,95,6.05
2025-04-22,241,15.66
2025-04-23,90,5.15
2025-04-24,80,4.64
2025-04-25,89,5.1
2025-04-26,62,3.5
2025-04-27,76,4.24
2025-04-28,83,4.77
2025-04-29,63,3.51
2025-04-30,85,4.91
2025-05-01,81,4.5
2025-05-02,58,3.2
2025-05-03,39,2.13
2025-05-04,47,2.6
2025-05-05,52,2.9
2025-05-06,69,3.93
2025-05-07,63,3.52
2025-05-08,417,23.07
2025-05-09,306,14.03
2025-05-10,283,12.21
2025-05-11,173,7.09
2025-05-12,217,9.03
2025-05-13,323,13.38
2025-05-14,179,7.02
